Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,20,12.00,47,02.62924,008,16.80666,2,08,1.10,641.8,47.3,48.6,0199
13,20,13.00,47,02.62924,008,16.80671,2,08,1.10,641.8,47.3,48.4,0199
13,20,14.00,47,02.62923,008,16.80676,2,08,1.10,641.8,47.3,48.2,0199
13,20,15.00,47,02.62923,008,16.80680,2,08,1.10,641.8,47.3,48.6,0199
13,20,16.00,47,02.62922,008,16.80685,2,08,1.10,641.8,47.3,49.6,0199
13,20,17.00,47,02.62922,008,16.80688,2,08,1.10,641.8,47.3,48.2,0199
13,20,18.00,47,02.62922,008,16.80691,2,08,1.10,641.8,47.3,48.6,0199
13,20,19.00,47,02.62922,008,16.80693,2,08,1.10,641.8,47.3,48.4,0199
13,20,20.00,47,02.62922,008,16.80695,2,08,1.10,641.8,47.3,48.2,0199
13,20,21.00,47,02.62922,008,16.80698,2,08,1.10,641.9,47.3,48.6,0199
13,20,22.00,47,02.62922,008,16.80701,2,08,1.10,641.9,47.3,48.4,0199
13,20,23.00,47,02.62921,008,16.80703,2,08,1.10,641.9,47.3,48.2,0199
13,20,24.00,47,02.62921,008,16.80705,2,08,1.10,642.0,47.3,48.6,0199
13,20,25.00,47,02.62921,008,16.80708,2,08,1.10,642.0,47.3,48.4,0199
13,20,26.00,47,02.62921,008,16.80712,2,08,1.10,642.0,47.3,48.2,0199
13,20,27.00,47,02.62921,008,16.80715,2,08,1.10,642.1,47.3,48.6,0199
13,20,28.00,47,02.62922,008,16.80717,2,08,1.10,642.1,47.3,48.4,0199
13,20,29.00,47,02.62923,008,16.80719,2,08,1.11,642.2,47.3,48.2,0199
13,20,30.00,47,02.62924,008,16.80721,2,08,1.11,642.2,47.3,48.6,0199
13,20,31.00,47,02.62924,008,16.80724,2,08,1.11,642.3,47.3,48.4,0199
13,20,32.00,47,02.62925,008,16.80726,2,08,1.11,642.3,47.3,49.4,0199
13,20,33.00,47,02.62926,008,16.80728,2,08,1.11,642.4,47.3,48.6,0199
13,20,34.00,47,02.62927,008,16.80730,2,08,1.11,642.4,47.3,48.4,0199
13,20,35.00,47,02.62928,008,16.80732,2,08,1.11,642.5,47.3,48.2,0199
13,20,36.00,47,02.62929,008,16.80733,2,08,1.11,642.5,47.3,48.6,0199
13,20,37.00,47,02.62931,008,16.80735,2,08,1.11,642.6,47.3,48.4,0199
13,20,38.00,47,02.62932,008,16.80736,2,08,1.11,642.6,47.3,48.2,0199
